TEMP. (aC)	CORRECTED  RUNWAY  LENGTH (M )																	
	1500					1750				2000			2250				2500	
-20	67.4        3/3					70.9        2/3				73.6        2/3			75.7        2/3				77.0        2/3	
	125/25/30					132/33/37				139/ 41/ 45			146 / 48/52				1 53/55/59	
-10	66.7        3/3					70.2        2/3				72.9        2/3			75.1         2/3				76.6        2/3	
	124/24/29					130/31/35				137/39/ 43			144 / 46/50				1 50/53/57	
0	65.9        3/3					69.5        2/3				72.2        2/3			74.5        2/3				76.1        2/3	
	122/ 22/ 27					12 8/29/34				135/37/ 41			142 / 44/ 48				14 8/51/ 55	
10	65.2        3/3					68.8        2/3				71.6        2/3			73.8        2/3				75.6        2/3	
	120/20/25					127 / 28/32				133/35/39			14 0/42/ 46				146 / 49/53	
20	64.4        3/3					68.0        2/3				70.8        2/3			73.1         2/3				75.0        2/3	
	119/19/24					12 5/26/31				132/34/38			138/41/ 45				144 / 47/51	
30	*		63.6        3/9			67.3        2/3				70.0        2/3			72.4        2/3				74.2        2/3	
	*		117/17/ 22			124 /24/29				130/32/36			136/39/ 43				142/45/49	
40	*		62.7        3/9			66.6        2/3				69.4        2/3			71.8        2/3				73.7        2/3	
	*		116/17/ 22			122 / 23/28				12 8/31/35			134/37/ 41				14 0/ 44/ 47	
45	*		62.1        3/3			66.2        2/3				69.0        2/3			71.4        2/3				73.3       2/3	
	*		11 5/17 / 22			121 / 22/ 27				127 /30/34			134/37/ 40				139/ 43/47	
47	*		61.2        3/3			65.3        2/3				68.1        2/3			70.4        2/3				72.3       2/3	
	*		11 5/17 / 22			121 / 22/ 27				127 / 29/33			133/36/ 40				139/ 42/ 46	
49	*		60.2        3/3			64.4        2/3				67.1        2/3			69.4        2/3				71.2        2/3	
	*		11 5/17 / 22			121 / 21/ 26				127 / 29/33			133/36/39				139/ 42/ 45	
51	*		59.2        3/3			63.6        2/3				66.2        2/3			68.4        2/3				70.1        2/3	
	*		115/17/ 22			121 / 21/ 26				127 / 28/32			133/35/39				138/ 41/4 5	
53	*		58.1        3/3			62.7        2/3				65.3        2/3			67.4        2/3				69.1        2/3	
	*		115/17/ 22			12 0/21/ 25				127 / 28/32			133/35/38				138/ 41/4 4	
55	*		57.0        3/3			61.8        2/3				64.3        2/3			66.4        2/3				68.1        2/3	
	*		114/17/ 22			12 0/20/25				126 / 28/31			132/34/38				138/ 40/44	
57	*		55.9        3/3			61.0        2/3				63.5        2/3			65.5        2/3				67.2        2/3	
	*		114/17/22			12 0/20/24				126 / 27/31			132/34/37				138/ 40/43	
59	*		54.8        3/3			60.1        3/3				62.6        2/3			64.6        2/3				66.2        2/3	
	*		114/17/22			12 0/20/24				126 / 27/31			132/33/37				138/39/ 43	
61	*		53.6        3/3			59.3        3/3				61.8        2/3			63.7        2/3				65.2        2/3	
	*		113/17/22			119 /19 /2 4				126 / 26/30			132/33/36				137/39/ 42	
63	*		52.4        3/3			58.4        3/3				60.9        2/3			62.8        2/3				64.3       2/3	
	*		113/18/22			119 /19 /24				12 5/26/30			131/32/36				137/38/42	
65	*		51.4        3/3			*		57.6        3/3		60.1        2/3			61.9        2/3				63.3       2/3	
	*		113/18/22			*		119 /19 /23		12 5/25/29			131/32/35				137/38/41	
67	*		50.2        3/3			*		56.7        3/3		59.2        2/3			61.0        2/3				62.3       2/3	
	*		113/18/22			*		119 /19 /23		12 5/25/29			131/31/35				137/37/ 41	
68	*		49.6        3/3			*		56.3        3/3		58.8        2/3			60.6        2/3				61.8        2/3	
	*		113/18/22			*		11 8/18/23		12 5/25/28			131/31/34				136/37/ 40	
